county,precinct,office,district,candidate,party,votes
Barry,"Carlton Township, Precinct 1",President,"",Jo Jorgensen,LIB,21
Barry,"Carlton Township, Precinct 1",President,"",Don Blankenship,UST,3
Barry,"Carlton Township, Precinct 1",President,"",Howie Hawkins,GRN,0
Barry,"Carlton Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Carlton Township, Precinct 1",President,"",Write-Ins,"",2
Barry,"Castleton Township, Precinct 1",President,"",Joseph R. Biden,DEM,457
Barry,"Castleton Township, Precinct 1",President,"",Donald J. Trump,REP,1038
Barry,"Castleton Township, Precinct 1",President,"",Jo Jorgensen,LIB,14
Barry,"Castleton Township, Precinct 1",President,"",Don Blankenship,UST,1
Barry,"Castleton Township, Precinct 1",President,"",Howie Hawkins,GRN,6
Barry,"Castleton Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Castleton Township, Precinct 1",President,"",Write-Ins,"",2
Barry,"Hastings Township, Precinct 1",President,"",Joseph R. Biden,DEM,555
Barry,"Hastings Township, Precinct 1",President,"",Donald J. Trump,REP,1156
Barry,"Hastings Township, Precinct 1",President,"",Jo Jorgensen,LIB,24
Barry,"Hastings Township, Precinct 1",President,"",Don Blankenship,UST,1
Barry,"Hastings Township, Precinct 1",President,"",Howie Hawkins,GRN,4
Barry,"Hastings Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Hastings Township, Precinct 1",President,"",Write-Ins,"",3
Barry,"Hope Township, Precinct 1",President,"",Joseph R. Biden,DEM,621
Barry,"Hope Township, Precinct 1",President,"",Donald J. Trump,REP,1253
Barry,"Hope Township, Precinct 1",President,"",Jo Jorgensen,LIB,24
Barry,"Hope Township, Precinct 1",President,"",Don Blankenship,UST,4
Barry,"Hope Township, Precinct 1",President,"",Howie Hawkins,GRN,1
Barry,"Hope Township, Precinct 1",President,"",Rocky De La Fuente,NAT,0
Barry,"Hope Township, Precinct 1",President,"",Write-Ins,"",3
Barry,"Irving Township, Precinct 1",President,"",Joseph R. Biden,DEM,583
Barry,"Irving Township, Precinct 1",President,"",Donald J. Trump,REP,1517
Barry,"Irving Township, Precinct 1",President,"",Jo Jorgensen,LIB,28
Barry,"Irving Township, Precinct 1",President,"",Don Blankenship,UST,4
Barry,"Irving Township, Precinct 1",President,"",Howie Hawkins,GRN,4
Barry,"Irving Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Irving Township, Precinct 1",President,"",Write-Ins,"",4
Barry,"Johnstown Township, Precinct 1",President,"",Joseph R. Biden,DEM,578
Barry,"Johnstown Township, Precinct 1",President,"",Donald J. Trump,REP,1186
Barry,"Johnstown Township, Precinct 1",President,"",Jo Jorgensen,LIB,20
Barry,"Johnstown Township, Precinct 1",President,"",Don Blankenship,UST,3
Barry,"Johnstown Township, Precinct 1",President,"",Howie Hawkins,GRN,3
Barry,"Johnstown Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Johnstown Township, Precinct 1",President,"",Write-Ins,"",1
Barry,"Maple Grove Township, Precinct 1",President,"",Joseph R. Biden,DEM,191
Barry,"Maple Grove Township, Precinct 1",President,"",Donald J. Trump,REP,608
Barry,"Maple Grove Township, Precinct 1",President,"",Jo Jorgensen,LIB,5
Barry,"Maple Grove Township, Precinct 1",President,"",Don Blankenship,UST,4
Barry,"Maple Grove Township, Precinct 1",President,"",Howie Hawkins,GRN,1
Barry,"Maple Grove Township, Precinct 1",President,"",Rocky De La Fuente,NAT,0
Barry,"Maple Grove Township, Precinct 1",President,"",Write-Ins,"",0
Barry,"Orangeville Township, Precinct 1",President,"",Joseph R. Biden,DEM,645
Barry,"Orangeville Township, Precinct 1",President,"",Donald J. Trump,REP,1289
Barry,"Orangeville Township, Precinct 1",President,"",Jo Jorgensen,LIB,28
Barry,"Orangeville Township, Precinct 1",President,"",Don Blankenship,UST,2
Barry,"Orangeville Township, Precinct 1",President,"",Howie Hawkins,GRN,7
Barry,"Orangeville Township, Precinct 1",President,"",Rocky De La Fuente,NAT,1
Barry,"Orangeville Township, Precinct 1",President,"",Write-Ins,"",2
Barry,"Prairieville Township, Precinct 1",President,"",Joseph R. Biden,DEM,817
Barry,"Prairieville Township, Precinct 1",President,"",Donald J. Trump,REP,1176
Barry,"Prairieville Township, Precinct 1",President,"",Jo Jorgensen,LIB,19
Barry,"Prairieville Township, Precinct 1",President,"",Don Blankenship,UST,2
Barry,"Prairieville Township, Precinct 1",President,"",Howie Hawkins,GRN,5
Barry,"Prairieville Township, Precinct 1",President,"",Rocky De La Fuente,NAT,0
Barry,"Prairieville Township, Precinct 1",President,"",Write-Ins,"",2
Barry,"Rutland Township, Precinct 1H",President,"",Joseph R. Biden,DEM,378
Barry,"Rutland Township, Precinct 1H",President,"",Donald J. Trump,REP,704
Barry,"Rutland Township, Precinct 1H",President,"",Jo Jorgensen,LIB,11
Barry,"Rutland Township, Precinct 1H",President,"",Don Blankenship,UST,3
Barry,"Rutland Township, Precinct 1H",President,"",Howie Hawkins,GRN,0
Barry,"Rutland Township, Precinct 1H",President,"",Rocky De La Fuente,NAT,2
Barry,"Rutland Township, Precinct 1H",President,"",Write-Ins,"",1
Barry,"Rutland Township, Precinct 2",President,"",Joseph R. Biden,DEM,581
Barry,"Rutland Township, Precinct 2",President,"",Donald J. Trump,REP,908
Barry,"Rutland Township, Precinct 2",President,"",Jo Jorgensen,LIB,23
Barry,"Rutland Township, Precinct 2",President,"",Don Blankenship,UST,0
Barry,"Rutland Township, Precinct 2",President,"",Howie Hawkins,GRN,2
Barry,"Rutland Township, Precinct 2",President,"",Rocky De La Fuente,NAT,1
Barry,"Rutland Township, Precinct 2",President,"",Write-Ins,"",0
Barry,"Thornapple Township, Precinct 1",President,"",Joseph R. Biden,DEM,549
Barry,"Thornapple Township, Precinct 1",President,"",Donald J. Trump,REP,1374
Barry,"Thornapple Township, Precinct 1",President,"",Jo Jorgensen,LIB,33
Barry,"Thornapple Township, Precinct 1",President,"",Don Blankenship,UST,7
Barry,"Thornapple Township, Precinct 1",President,"",Howie Hawkins,GRN,5
Barry,"Thornapple Township, Precinct 1",President,"",Rocky De La Fuente,NAT,0
Barry,"Thornapple Township, Precinct 1",President,"",Write-Ins,"",4
Barry,"Thornapple Township, Precinct 2",President,"",Joseph R. Biden,DEM,357
Barry,"Thornapple Township, Precinct 2",President,"",Donald J. Trump,REP,984
Barry,"Thornapple Township, Precinct 2",President,"",Jo Jorgensen,LIB,24
Barry,"Thornapple Township, Precinct 2",President,"",Don Blankenship,UST,1
Barry,"Thornapple Township, Precinct 2",President,"",Howie Hawkins,GRN,4
Barry,"Thornapple Township, Precinct 2",President,"",Rocky De La Fuente,NAT,0
Barry,"Thornapple Township, Precinct 2",President,"",Write-Ins,"",2
Barry,"Thornapple Township, Precinct 3",President,"",Joseph R. Biden,DEM,757
Barry,"Thornapple Township, Precinct 3",President,"",Donald J. Trump,REP,1230
Barry,"Thornapple Township, Precinct 3",President,"",Jo Jorgensen,LIB,39
Barry,"Thornapple Township, Precinct 3",President,"",Don Blankenship,UST,4
Barry,"Thornapple Township, Precinct 3",President,"",Howie Hawkins,GRN,8
Barry,"Thornapple Township, Precinct 3",President,"",Rocky De La Fuente,NAT,0
Barry,"Thornapple Township, Precinct 3",President,"",Write-Ins,"",10
Barry,"Woodland Township, Precinct 1",President,"",Joseph R. Biden,DEM,409
Barry,"Woodland Township, Precinct 1",President,"",Donald J. Trump,REP,820
Barry,"Woodland Township, Precinct 1",President,"",Jo Jorgensen,LIB,11
Barry,"Woodland Township, Precinct 1",President,"",Don Blankenship,UST,2
Barry,"Woodland Township, Precinct 1",President,"",Howie Hawkins,GRN,1
Barry,"Woodland Township, Precinct 1",President,"",Rocky De La Fuente,NAT,2
Barry,"Woodland Township, Precinct 1",President,"",Write-Ins,"",4
Barry,"Yankee Springs Township, Precinct 1",President,"",Joseph R. Biden,DEM,567
Barry,"Yankee Springs Township, Precinct 1",President,"",Donald J. Trump,REP,1308
Barry,"Yankee Springs Township, Precinct 1",President,"",Jo Jorgensen,LIB,24
Barry,"Yankee Springs Township, Precinct 1",President,"",Don Blankenship,UST,5
Barry,"Yankee Springs Township, Precinct 1",President,"",Howie Hawkins,GRN,4
Barry,"Yankee Springs Township, Precinct 1",President,"",Rocky De La Fuente,NAT,0
Barry,"Yankee Springs Township, Precinct 1",President,"",Write-Ins,"",6
Barry,"Yankee Springs Township, Precinct 2",President,"",Joseph R. Biden,DEM,464
Barry,"Yankee Springs Township, Precinct 2",President,"",Donald J. Trump,REP,971
Barry,"Yankee Springs Township, Precinct 2",President,"",Jo Jorgensen,LIB,15
Barry,"Yankee Springs Township, Precinct 2",President,"",Don Blankenship,UST,0
Barry,"Yankee Springs Township, Precinct 2",President,"",Howie Hawkins,GRN,2
Barry,"Yankee Springs Township, Precinct 2",President,"",Rocky De La Fuente,NAT,0
Barry,"Yankee Springs Township, Precinct 2",President,"",Write-Ins,"",1
Barry,"City of Hastings, Precinct 1H",State House,87,Jay Molette,DEM,366
Barry,"City of Hastings, Precinct 1H",State House,87,Julie A. Calley,REP,656
Barry,"City of Hastings, Precinct 1H",State House,87,Write-Ins,"",5
Barry,"City of Hastings, Precinct 2H",State House,87,Jay Molette,DEM,266
Barry,"City of Hastings, Precinct 2H",State House,87,Julie A. Calley,REP,534
Barry,"City of Hastings, Precinct 2H",State House,87,Write-Ins,"",2
Barry,"City of Hastings, Precinct 3H",State House,87,Jay Molette,DEM,279
Barry,"City of Hastings, Precinct 3H",State House,87,Julie A. Calley,REP,540
Barry,"City of Hastings, Precinct 3H",State House,87,Write-Ins,"",3
Barry,"City of Hastings, Precinct 4H",State House,87,Jay Molette,DEM,381
Barry,"City of Hastings, Precinct 4H",State House,87,Julie A. Calley,REP,631
Barry,"City of Hastings, Precinct 4H",State House,87,Write-Ins,"",1
Barry,"Assyria Township, Precinct 1",State House,87,Jay Molette,DEM,234
Barry,"Assyria Township, Precinct 1",State House,87,Julie A. Calley,REP,881
Barry,"Assyria Township, Precinct 1",State House,87,Write-Ins,"",2
Barry,"Baltimore Township, Precinct 1",State House,87,Jay Molette,DEM,225
Barry,"Baltimore Township, Precinct 1",State House,87,Julie A. Calley,REP,823
Barry,"Baltimore Township, Precinct 1",State House,87,Write-Ins,"",5
Barry,"Barry Township, Precinct 1",State House,87,Jay Molette,DEM,568
Barry,"Barry Township, Precinct 1",State House,87,Julie A. Calley,REP,1296
Barry,"Barry Township, Precinct 1",State House,87,Write-Ins,"",5
Barry,"Carlton Township, Precinct 1",State House,87,Jay Molette,DEM,332
Barry,"Carlton Township, Precinct 1",State House,87,Julie A. Calley,REP,1076
Barry,"Carlton Township, Precinct 1",State House,87,Write-Ins,"",5
Barry,"Castleton Township, Precinct 1",State House,87,Jay Molette,DEM,390
Barry,"Castleton Township, Precinct 1",State House,87,Julie A. Calley,REP,1087
Barry,"Castleton Township, Precinct 1",State House,87,Write-Ins,"",8
Barry,"Hastings Township, Precinct 1",State House,87,Jay Molette,DEM,457
Barry,"Hastings Township, Precinct 1",State House,87,Julie A. Calley,REP,1240
Barry,"Hastings Township, Precinct 1",State House,87,Write-Ins,"",6
Barry,"Hope Township, Precinct 1",State House,87,Jay Molette,DEM,518
Barry,"Hope Township, Precinct 1",State House,87,Julie A. Calley,REP,1301
Barry,"Hope Township, Precinct 1",State House,87,Write-Ins,"",9
Barry,"Irving Township, Precinct 1",State House,87,Jay Molette,DEM,479
Barry,"Irving Township, Precinct 1",State House,87,Julie A. Calley,REP,1579
Barry,"Irving Township, Precinct 1",State House,87,Write-Ins,"",4
Barry,"Johnstown Township, Precinct 1",State House,87,Jay Molette,DEM,501
Barry,"Johnstown Township, Precinct 1",State House,87,Julie A. Calley,REP,1216
Barry,"Johnstown Township, Precinct 1",State House,87,Write-Ins,"",6
Barry,"Maple Grove Township, Precinct 1",State House,87,Jay Molette,DEM,154
Barry,"Maple Grove Township, Precinct 1",State House,87,Julie A. Calley,REP,624
Barry,"Maple Grove Township, Precinct 1",State House,87,Write-Ins,"",0
Barry,"Orangeville Township, Precinct 1",State House,87,Jay Molette,DEM,558
Barry,"Orangeville Township, Precinct 1",State House,87,Julie A. Calley,REP,1320
Barry,"Orangeville Township, Precinct 1",State House,87,Write-Ins,"",4
Barry,"Prairieville Township, Precinct 1",State House,87,Jay Molette,DEM,692
Barry,"Prairieville Township, Precinct 1",State House,87,Julie A. Calley,REP,1246
Barry,"Prairieville Township, Precinct 1",State House,87,Write-Ins,"",4
Barry,"Rutland Township, Precinct 1H",State House,87,Jay Molette,DEM,303
Barry,"Rutland Township, Precinct 1H",State House,87,Julie A. Calley,REP,750
Barry,"Rutland Township, Precinct 1H",State House,87,Write-Ins,"",3
Barry,"Rutland Township, Precinct 2",State House,87,Jay Molette,DEM,453
Barry,"Rutland Township, Precinct 2",State House,87,Julie A. Calley,REP,1013
Barry,"Rutland Township, Precinct 2",State House,87,Write-Ins,"",3
Barry,"Thornapple Township, Precinct 1",State House,87,Jay Molette,DEM,444
Barry,"Thornapple Township, Precinct 1",State House,87,Julie A. Calley,REP,1474
Barry,"Thornapple Township, Precinct 1",State House,87,Write-Ins,"",5
Barry,"Thornapple Township, Precinct 2",State House,87,Jay Molette,DEM,289
Barry,"Thornapple Township, Precinct 2",State House,87,Julie A. Calley,REP,1021
Barry,"Thornapple Township, Precinct 2",State House,87,Write-Ins,"",9
Barry,"Thornapple Township, Precinct 3",State House,87,Jay Molette,DEM,654
Barry,"Thornapple Township, Precinct 3",State House,87,Julie A. Calley,REP,1305
Barry,"Thornapple Township, Precinct 3",State House,87,Write-Ins,"",4
Barry,"Woodland Township, Precinct 1",State House,87,Jay Molette,DEM,311
Barry,"Woodland Township, Precinct 1",State House,87,Julie A. Calley,REP,891
Barry,"Woodland Township, Precinct 1",State House,87,Write-Ins,"",2
Barry,"Yankee Springs Township, Precinct 1",State House,87,Jay Molette,DEM,486
Barry,"Yankee Springs Township, Precinct 1",State House,87,Julie A. Calley,REP,1349
Barry,"Yankee Springs Township, Precinct 1",State House,87,Write-Ins,"",8
Barry,"Yankee Springs Township, Precinct 2",State House,87,Jay Molette,DEM,392
Barry,"Yankee Springs Township, Precinct 2",State House,87,Julie A. Calley,REP,1014
Barry,"Yankee Springs Township, Precinct 2",State House,87,Write-Ins,"",3
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Democratic Party,DEM,195
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Republican Party,REP,326
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Libertarian Party,LIB,3
Barry,"City of Hastings, Precinct 1H",Straight Party,"",U.S. Taxpayers Party,UST,2
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Working Class Party,WCP,4
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Green Party,GRN,4
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Natural Law Party,NLP,2
Barry,"City of Hastings, Precinct 1H",Straight Party,"",Write-Ins,"",0
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Democratic Party,DEM,130
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Republican Party,REP,312
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Libertarian Party,LIB,5
Barry,"City of Hastings, Precinct 2H",Straight Party,"",U.S. Taxpayers Party,UST,1
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Working Class Party,WCP,3
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Green Party,GRN,1
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Natural Law Party,NLP,1
Barry,"City of Hastings, Precinct 2H",Straight Party,"",Write-Ins,"",0
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Democratic Party,DEM,121
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Republican Party,REP,296
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Libertarian Party,LIB,5
Barry,"City of Hastings, Precinct 3H",Straight Party,"",U.S. Taxpayers Party,UST,1
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Working Class Party,WCP,2
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Green Party,GRN,1
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Natural Law Party,NLP,0
Barry,"City of Hastings, Precinct 3H",Straight Party,"",Write-Ins,"",0
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Democratic Party,DEM,192
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Republican Party,REP,284
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Libertarian Party,LIB,5
Barry,"City of Hastings, Precinct 4H",Straight Party,"",U.S. Taxpayers Party,UST,1
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Working Class Party,WCP,0
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Green Party,GRN,2
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Natural Law Party,NLP,0
Barry,"City of Hastings, Precinct 4H",Straight Party,"",Write-Ins,"",0
Barry,"Assyria Township, Precinct 1",Straight Party,"",Democratic Party,DEM,148
Barry,"Assyria Township, Precinct 1",Straight Party,"",Republican Party,REP,553
Barry,"Assyria Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,3
Barry,"Assyria Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,0
Barry,"Assyria Township, Precinct 1",Straight Party,"",Working Class Party,WCP,1
Barry,"Assyria Township, Precinct 1",Straight Party,"",Green Party,GRN,1
Barry,"Assyria Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,1
Barry,"Assyria Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Democratic Party,DEM,126
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Republican Party,REP,387
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,3
Barry,"Baltimore Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,0
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Working Class Party,WCP,4
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Green Party,GRN,0
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,0
Barry,"Baltimore Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Barry Township, Precinct 1",Straight Party,"",Democratic Party,DEM,280
Barry,"Barry Township, Precinct 1",Straight Party,"",Republican Party,REP,661
Barry,"Barry Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,1
Barry,"Barry Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,3
Barry,"Barry Township, Precinct 1",Straight Party,"",Working Class Party,WCP,5
Barry,"Barry Township, Precinct 1",Straight Party,"",Green Party,GRN,4
Barry,"Barry Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,1
Barry,"Barry Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Carlton Township, Precinct 1",Straight Party,"",Democratic Party,DEM,207
Barry,"Carlton Township, Precinct 1",Straight Party,"",Republican Party,REP,589
Barry,"Carlton Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,5
Barry,"Carlton Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,0
Barry,"Carlton Township, Precinct 1",Straight Party,"",Working Class Party,WCP,3
Barry,"Carlton Township, Precinct 1",Straight Party,"",Green Party,GRN,0
Barry,"Carlton Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,0
Barry,"Carlton Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Castleton Township, Precinct 1",Straight Party,"",Democratic Party,DEM,230
Barry,"Castleton Township, Precinct 1",Straight Party,"",Republican Party,REP,626
Barry,"Castleton Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,8
Barry,"Castleton Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,0
Barry,"Castleton Township, Precinct 1",Straight Party,"",Working Class Party,WCP,2
Barry,"Castleton Township, Precinct 1",Straight Party,"",Green Party,GRN,1
Barry,"Castleton Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,2
Barry,"Castleton Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Hastings Township, Precinct 1",Straight Party,"",Democratic Party,DEM,234
Barry,"Hastings Township, Precinct 1",Straight Party,"",Republican Party,REP,665
Barry,"Hastings Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,5
Barry,"Hastings Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,0
Barry,"Hastings Township, Precinct 1",Straight Party,"",Working Class Party,WCP,8
Barry,"Hastings Township, Precinct 1",Straight Party,"",Green Party,GRN,0
Barry,"Hastings Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,1
Barry,"Hastings Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Hope Township, Precinct 1",Straight Party,"",Democratic Party,DEM,266
Barry,"Hope Township, Precinct 1",Straight Party,"",Republican Party,REP,706
Barry,"Hope Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,1
Barry,"Hope Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,1
Barry,"Hope Township, Precinct 1",Straight Party,"",Working Class Party,WCP,3
Barry,"Hope Township, Precinct 1",Straight Party,"",Green Party,GRN,2
Barry,"Hope Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,1
Barry,"Hope Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Irving Township, Precinct 1",Straight Party,"",Democratic Party,DEM,241
Barry,"Irving Township, Precinct 1",Straight Party,"",Republican Party,REP,853
Barry,"Irving Township, Precinct 1",Straight Party,"",Libertarian Party,LIB,4
Barry,"Irving Township, Precinct 1",Straight Party,"",U.S. Taxpayers Party,UST,1
Barry,"Irving Township, Precinct 1",Straight Party,"",Working Class Party,WCP,4
Barry,"Irving Township, Precinct 1",Straight Party,"",Green Party,GRN,1
Barry,"Irving Township, Precinct 1",Straight Party,"",Natural Law Party,NLP,0
Barry,"Irving Township, Precinct 1",Straight Party,"",Write-Ins,"",0
Barry,"Johnstown Township, Precinct 1",Straight Party,"",Democratic Party,DEM,294
Barry,"Johnstown Township, Precinct 1",Straight Party,"",Republican Party,REP,727
